biic,1,6700
gddh,1,2500
ggbg,1,1500
hcbj,1,3300
ibci,1,1200
idai,1,4200
bbce,2,8501
ccgj,2,7901
dcbc,2,2301
gdff,2,9501
gfee,2,3201
ghji,2,2101
hceg,2,5501
aidi,3,2602
dabe,3,802
daeb,3,3902
dcgi,3,3002
dfhe,3,1502
gidc,3,602
hhii,3,802
jdgb,3,702
aihe,4,8903
ajge,4,2903
cgaa,4,7703
ddje,4,503
fgia,4,1103
fhjj,4,103
iihh,4,8603
jbfe,4,5103
jjhf,4,6703
baha,5,2904
cbii,5,3904
cgjc,5,5104
cibi,5,3204
dbih,5,6704
eibg,5,7404
fhgb,5,1304
icef,5,804
jbbi,5,5804
jbch,5,7304
jjfh,5,7504
aabh,6,305
abgb,6,5405
bdjg,6,1705
cjee,6,3105
eajg,6,3005
egch,6,2605
hbjc,6,2305
icfe,6,1305
iiig,6,5
jahd,6,2805
cife,7,6
dhhc,7,8806
djde,7,6806
djha,7,5706
edie,7,1706
fabc,7,8806
gahg,7,9706
gbgg,7,9606
gihj,7,8806
jdfc,7,306
jhcb,7,7906
afig,8,4607
bcfa,8,3107
bfhg,8,7307
bfje,8,1307
cjbh,8,5307
ecgh,8,3007
fice,8,2907
gffd,8,8307
jbef,8,4107
jfii,8,1307
bggg,9,9708
caij,9,2908
ccjg,9,2908
cffh,9,9808
dhib,9,808
difd,9,2708
efci,9,5708
egfe,9,5508
fbac,9,4808
fgee,9,6208
icja,9,6608
jjdj,9,7308
aacg,10,8809
abcf,10,3309
aicj,10,3709
bdae,10,8909
bhfg,10,3909
egaj,10,2409
fcei,10,6709
ggah,10,4409
ggcf,10,2109
hffc,10,5909
ihjg,10,7709
acdd,11,1210
ahfh,11,410
bbec,11,3210
bjdg,11,4210
dbhi,11,5710
eefg,11,1810
hfah,11,8510
ieha,11,8010
acce,12,7711
ajdh,12,111
bige,12,3411
bjib,12,9411
ceif,12,6411
chdh,12,9911
eadb,12,2511
gfbh,12,7511
gfhb,12,9511
heai,12,9911
hhfa,12,1211
jigh,12,6111
addc,13,6512
ajbj,13,12
djfc,13,5512
fcfh,13,5112
fddi,13,8312
icdg,13,9712
jifi,13,5212
agbb,14,3513
dfid,14,7913
ecbb,14,3513
gaac,14,7113
gbei,14,4713
haei,14,7713
hafh,14,2913
hdbi,14,7113
hibd,14,4313
jhig,14,5413
jiif,14,7313
baed,15,3714
bcdc,15,8314
ehcg,15,2814
ehee,15,3714
